Case Ref No,Industry,LGA,WSP,Received Date,Finalisation Date,Offences,Finalisation Reason
00860-2018,Extractive,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Dec-18,Jul-19,"60A - Taking water without, or otherwise than authorised by, an access licence",Breach – enforcement response completed
00860-2020,Development,Murray River,Murray Unregulated and Alluvial Water Sources ,May-20,Oct-20,91D(2)-tier 2 - Constructing or using a flood work with a flood work approval-but not in accordance with the flood work approval,Medium priority – potential M&A audit
00861-2018,Crop / horticulture,Wellington,Macquarie Bogan Unregulated and Alluvial Water Sources ,Dec-18,Mar-19,"91E - Carrying out controlled activity, 91G - Contravention of terms and conditions of approval",Breach – enforcement response completed
00861-2020,Residential,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,May-20,Jun-20,"60A(2)-tier 2 - Taking water without an access licence, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval",No breach – other
00862-2018,Extractive,Ballina,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Dec-18,Aug-19,60B - Contravention of terms and conditions of access licence,No breach – other
00863-2018,Extractive,Wingecarribee,Greater Metropolitan Region Unregulated River Water Sources ,Dec-18,Feb-19,91B - Constructing or using water supply work,No breach – other
00864-2018,,Goulburn Mulwaree,Greater Metropolitan Region Unregulated River Water Sources ,Dec-18,Apr-19,"60A - Taking water without, or otherwise than authorised by, an access licence",No breach – referred to another agency
00865-2018,Extractive,Wyong,Hunter Unregulated and Alluvial Water Sources ,Dec-18,Dec-18,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence",No breach – other
00865-2019,Unknown,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Sep-19,Jul-20,91D(1)-tier 2 - Constructing or using a flood work without a flood work approval,Low priority - referred to another agency
00866-2018,Industrial,Snowy Valleys,Murrumbidgee Unregulated and Alluvial Water Sources ,Dec-18,Apr-19,"91E - Carrying out controlled activity, 91G - Contravention of terms and conditions of approval",Breach – enforcement response completed
00866-2019,Crop / horticulture,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Sep-19,Nov-19,"91A - Using water without, or otherwise than as authorised by, a water use approval, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – other
00867-2018,Unknown,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Dec-18,May-20,91E - Carrying out controlled activity,Duplicate Entry - refer to linked notification
00867-2019,Unknown,Queanbeyan-Palerang Regional,Murrumbidgee Unregulated and Alluvial Water Sources ,Sep-19,Oct-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work",No breach – other
00867-2020,Unknown,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,May-20,Jun-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – other
00868-2018,Individual,Liverpool,Greater Metropolitan Region Unregulated River Water Sources ,Dec-18,Aug-19,91E - Carrying out controlled activity,No breach – referred to another agency
00868-2019,Unknown,Lismore,North Coast Fractured and Porous Rock Groundwater Sources ,Sep-19,Dec-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval",Breach – enforcement response completed
00869-2018,Unknown,Gosford,Central Coast Unregulated Water Sources ,Dec-18,Feb-19,91E - Carrying out controlled activity,No breach – other
00869-2019,Irrigation,Walcha,Tuross River Unregulated and Alluvial Water Sources ,Sep-19,Jul-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91B(2)-tier 2 - Constructing or using a water supply work with a water supply work approval-but not in accordance with the water supply work approval (Includes constructing or using the work while the water supply work approval is suspended)",No breach - insufficient evidence
00870-2020,Residential,Bathurst Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,May-20,Aug-20,112 - Bores to be licensed,Breach – enforcement response completed
00871-2018,Crop / horticulture,Tamworth Regional,Namoi Unregulated and Alluvial Water Sources ,Dec-18,Apr-19,91G - Contravention of terms and conditions of approval,Duplicate Entry - refer to linked notification
00871-2019,Other,Moree Plains,Gwydir Unregulated and Alluvial Water Sources ,Sep-19,May-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 91A - Using water without, or otherwise than as authorised by, a water use approval",Breach – enforcement response completed
00871-2020,Residential,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,May-20,Oct-20,"91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach – enforcement response completed
00872-2018,Crop / horticulture,Narrabri,Gwydir Unregulated and Alluvial Water Sources ,Dec-18,Oct-20,91D - Constructing or using flood work,Medium priority – potential M&A audit
00872-2019,Other,Warrumbungle,NSW Great Artesian Basin Groundwater Sources ,Sep-19,Sep-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Medium priority – potential M&A audit
00872-2020,Crop / horticulture,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",May-20,Oct-20,"60C - Taking water for which there is no, or insufficient, water allocation",No breach - insufficient evidence
00873-2019,Unknown,Shoalhaven,Clyde River Unregulated and Alluvial Water Sources ,Sep-19,Jun-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – referred to another agency
00873-2020,Development,Armidale Regional,NSW Murray Darling Basin Fractured Rock Groundwater Sources ,Apr-20,Jul-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Low priority
00874-2018,Crop / horticulture,Tamworth Regional,Namoi Unregulated and Alluvial Water Sources ,Nov-18,Sep-19,"60B - Contravention of terms and conditions of access licence, 91K - Meter tampering",Low priority
00875-2019,Other,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Sep-19,Dec-19, ,Breach – enforcement response completed
00876-2018,Unknown,Moree Plains,NSW Border Rivers Unregulated and Alluvial Water Sources ,Dec-18,Jun-20,91E - Carrying out controlled activity,No breach – referred to another agency
00876-2020,Development,Albury,Murray Unregulated and Alluvial Water Sources ,May-20,Jul-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – other
00877-2018,Unknown,Walgett,Namoi Unregulated and Alluvial Water Sources ,Dec-18,Apr-20,91E - Carrying out controlled activity,Breach – enforcement response completed
00877-2019,Unknown,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Sep-19,Jul-20, ,Breach – enforcement response completed
00878-2018,Unknown,Central Coast,Central Coast Unregulated Water Sources ,Dec-18,Sep-19,"91E - Carrying out controlled activity, 91G - Contravention of terms and conditions of approval",Low priority
00878-2020,Urban,Nambucca,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Apr-20,Jul-20, ,Breach – enforcement response completed
00881-2018,Unknown,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Dec-18,Jul-20,"345 - Harm to aquifers and waterfront land, 60A - Taking water without, or otherwise than authorised by, an access licence, 91E - Carrying out controlled activity",Breach – enforcement response completed
00881-2020,Other,Wagga Wagga,Murrumbidgee Regulated River Water Source ,May-20,Oct-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Low priority - referred to another agency
00882-2018,Unknown,Wingecarribee,Greater Metropolitan Region Unregulated River Water Sources ,Dec-18,Mar-19,91B - Constructing or using water supply work,No breach – other
00882-2019,Other,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Sep-19,Nov-19, ,No breach – other
00882-2020,Residential,Sutherland Shire,Greater Metropolitan Region Unregulated River Water Sources ,May-20,Jul-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Duplicate Entry - refer to linked notification
00883-2018,Unknown,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Nov-18,Dec-20, ,Medium priority – potential M&A audit
00884-2018,Development,Kempsey,Macleay Unregulated and Alluvial Water Source ,Dec-18,Feb-19,"91D - Constructing or using flood work, 91E - Carrying out controlled activity",No breach – other
00885-2018,Development,Central Coast,Central Coast Unregulated Water Sources ,Dec-18,Oct-19,91E - Carrying out controlled activity,No breach – referred to another agency
00887-2018,Crop / horticulture,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Sep-18,Jul-19,"60A - Taking water without, or otherwise than authorised by, an access licence",Other (details in running log)
00888-2018,Unknown,Gosford,Central Coast Unregulated Water Sources ,Dec-18,Mar-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00888-2020,Industrial,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",May-20,Aug-20,"60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00889-2020,Unknown,Warren,Macquarie and Cudgegong Regulated River Water Source ,May-20,Jun-20, ,No breach – other
00890-2020,Development,Dubbo Regional,Greater Metropolitan Region Unregulated River Water Sources ,May-20,Aug-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – exempt
00894-2020,Development,Shoalhaven,Clyde River Unregulated and Alluvial Water Sources ,May-20,Jun-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – authorised by licence/approval
00898-2020,Other,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,May-20,Aug-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – referred to another agency
00900-2019,Unknown,Cessnock,North Coast Fractured and Porous Rock Groundwater Sources ,Sep-19,Jan-20,60B - Contravention of terms and conditions of access licence,Breach – enforcement response completed
00901-2019,Unknown,Murrumbidgee,Murrumbidgee Unregulated and Alluvial Water Sources ,Sep-19,Oct-19,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00902-2019,Crop / horticulture,Greater Hume,Lower North Coast Unregulated and Alluvial Water Sources ,Sep-19,Dec-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00903-2020,Irrigation,Murray River,Murray Unregulated and Alluvial Water Sources ,May-20,May-20, ,No breach - information request
00904-2019,Other,Wingecarribee,Greater Metropolitan Region Unregulated River Water Sources ,Sep-19,Apr-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – other
00905-2019,Residential,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Sep-19,Mar-20,"91G(1), (2)-tier 2 - Carrying out a controlled activity with a controlled activity approval-but not in accordance with the terms or conditions of the approval",No breach – other
00905-2020,Animal,Glen Innes Severn Shire,NSW Border Rivers Unregulated and Alluvial Water Sources ,May-20,Sep-20,"60A(1)-tier 1 - Taking water without an access licence, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",
00906-2019,Unknown,Cabonne,Macquarie Bogan Unregulated and Alluvial Water Sources ,Sep-19,Nov-19,"91A(1)-tier 2 - Using water without a water use approval, 91A(2)-tier 2 - Using water with a water use approval-but not in accordance with the approval (Includes using water while the approval is suspended), 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Duplicate Entry - refer to linked notification
00907-2019,Unknown,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Oct-19,Oct-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00908-2019,Residential,Ballina,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Sep-19,Oct-19,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – referred to another agency
00909-2019,Unknown,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Sep-19,Oct-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 91A - Using water without, or otherwise than as authorised by, a water use approval",Breach – enforcement response completed
00909-2020,Development,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,May-20,Jun-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – exempt
00910-2019,Unknown,Lachlan,Lachlan Unregulated and Alluvial Water Sources ,Sep-19,Jan-20,60B - Contravention of terms and conditions of access licence,Low priority
00910-2020,Crop / horticulture,Armidale Regional,Macleay Unregulated and Alluvial Water Source ,May-20,May-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00911-2019,Crop / horticulture,Parkes,Lachlan Unregulated and Alluvial Water Sources ,Sep-19,Oct-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – authorised by licence/approval
00912-2019,Animal,Uralla,Namoi Unregulated and Alluvial Water Sources ,Sep-19,Apr-20, ,Breach – enforcement response completed
00912-2020,Development,Orange,Macquarie Bogan Unregulated and Alluvial Water Sources ,May-20,Sep-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00914-2019,Development,Coffs Harbour,Clarence River Unregulated and Alluvial Water Sources ,Sep-19,Mar-20,"91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach – enforcement response completed
00914-2020,Unknown,Central Coast,North Coast Fractured and Porous Rock Groundwater Sources ,May-20,May-20, ,Breach – enforcement response completed
00915-2019,Unknown,Central Coast,Central Coast Unregulated Water Sources ,Sep-19,Jan-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 91A - Using water without, or otherwise than as authorised by, a water use approval",No breach – other
00915-2020,Development,Wollondilly,Greater Metropolitan Region Unregulated River Water Sources ,May-20,Oct-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Medium priority – potential M&A audit
00916-2019,Extractive,Muswellbrook,North Coast Fractured and Porous Rock Groundwater Sources ,Sep-19,May-20,"60B - Contravention of terms and conditions of access licence, 60G - Charge for water illegally taken",No breach – other
00917-2019,Irrigation,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Sep-19,Oct-19,"60C - Taking water for which there is no, or insufficient, water allocation, 91A - Using water without, or otherwise than as authorised by, a water use approval",Breach – enforcement response completed
00917-2020,Development,Central Coast,Central Coast Unregulated Water Sources ,May-20,Sep-20,"60A(1)-tier 1 - Taking water without an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – other
00918-2019,Development,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Oct-19,Jul-20, ,No breach - insufficient evidence
00919-2019,Development,Hornsby,Greater Metropolitan Region Unregulated River Water Sources ,Sep-19,Jan-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – referred to another agency
00920-2019,Development,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Oct-19,Dec-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Breach – enforcement response completed
00921-2019,Development,Byron,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Sep-19,Nov-19,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach – enforcement response completed
00922-2019,Crop / horticulture,Walgett,Gwydir Unregulated and Alluvial Water Sources ,Sep-19,Feb-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00922-2020,Other,Bega Valley,Greater Metropolitan Region Unregulated River Water Sources ,May-20,Dec-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00923-2019,Unknown,Wingecarribee,Greater Metropolitan Region Unregulated River Water Sources ,Sep-19,Mar-20,"60A(2)-tier 2 - Taking water without an access licence, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – exempt
00924-2019,Unknown,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Sep-19,Oct-19, ,Other (details in running log)
00925-2019,Unknown,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Oct-19,Jun-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – exempt
00926-2019,Unknown,Muswellbrook,Hunter Unregulated and Alluvial Water Sources ,Oct-19,Mar-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – authorised by licence/approval
00926-2020,Crop / horticulture,Greater Hume,North Coast Fractured and Porous Rock Groundwater Sources ,May-20,Oct-20,"91A - Using water without, or otherwise than as authorised by, a water use approval",No breach – other
00928-2019,Irrigation,Lachlan,Lachlan Regulated River Water Source ,Oct-19,Aug-20,"60B - Contravention of terms and conditions of access licence, 91H(1)-tier 2 - Failure to install or use metering equipment in accordance with the conditions of an access licence or approval, or a direction",Breach – enforcement response completed
00929-2019,Unknown,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Oct-19,Jan-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work",Breach – enforcement response completed
00930-2019,Unknown,Inverell,NSW Border Rivers Unregulated and Alluvial Water Sources ,Oct-19,Jan-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work, 60G - Charge for water illegally taken",Breach – enforcement response completed
00931-2019,Unknown,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Oct-19,Dec-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work",Low priority
00932-2019,Unknown,Nambucca,Nambucca Unregulated and Alluvial Water Sources ,Oct-19,Oct-19, ,No breach – other
00932-2020,Crop / horticulture,Narrabri,NSW Murray Darling Basin Porous Rock Groundwater Sources ,May-20,Oct-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00933-2019,Unknown,Wingecarribee,Greater Metropolitan Region Unregulated River Water Sources ,Oct-19,Nov-19,"60C - Taking water for which there is no, or insufficient, water allocation, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval",No breach – other
00934-2019,Residential,Edward River,Murray Unregulated and Alluvial Water Sources ,Oct-19,Jan-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Breach – enforcement response completed
00934-2020,Irrigation,Warren,Macquarie and Cudgegong Regulated River Water Source ,May-20,Jul-20, ,Duplicate Entry - refer to linked notification
00935-2019,Unknown,Liverpool,Namoi Unregulated and Alluvial Water Sources ,Oct-19,Sep-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,No breach - insufficient evidence
00936-2019,Unknown,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Oct-19,Mar-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work",No breach – authorised by licence/approval
00936-2020,Crop / horticulture,Shoalhaven,Clyde River Unregulated and Alluvial Water Sources ,May-20,Aug-20,"91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – referred to another agency
00938-2019,Development,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Oct-19,Feb-20,"60D - Taking water otherwise than from a nominated water supply work, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach – enforcement response completed
00938-2020,Animal,Kyogle,North Coast Fractured and Porous Rock Groundwater Sources ,May-20,Aug-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – authorised by licence/approval
00939-2019,Irrigation,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Oct-19,Nov-19,"336C - Contravene certain directions, 91G(1), (2)-tier 2 - Constructing or using a water supply work with a water supply work approval-but not in accordance with the terms or conditions of the approval",No breach – other
00939-2020,Crop / horticulture,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,May-20,Nov-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – exempt
00940-2019,Irrigation,Narrandera,Murrumbidgee Regulated River Water Source ,Oct-19,Jan-20,"60B - Contravention of terms and conditions of access licence, 91A - Using water without, or otherwise than as authorised by, a water use approval",Breach – enforcement response completed
00941-2019,Unknown,Dubbo Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Oct-19,Jun-20,"91G(1), (2)-tier 2 - Constructing or using a water supply work with a water supply work approval-but not in accordance with the terms or conditions of the approval",Breach – enforcement response completed
00942-2019,Unknown,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Oct-19,Dec-19,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,No breach – exempt
00942-2020,Crop / horticulture,Kyogle,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",May-20,Aug-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – exempt
00943-2019,Individual,Murray River,NSW Murray and Lower Darling Regulated Rivers Water Sources ,Oct-19,Jan-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Breach – enforcement response completed
00943-2020,Unknown,Wollondilly,Greater Metropolitan Region Unregulated River Water Sources ,May-20,Oct-20,"345(2)-tier 2 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Low priority - referred to another agency
00944-2019,Other,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Oct-19,Nov-19,91D(1)-tier 2 - Constructing or using a flood work without a flood work approval,Low priority
00945-2019,Development,Kyogle,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Oct-19,Oct-19,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – other
00946-2019,Industrial,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Oct-19,Jan-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – authorised by licence/approval
00947-2019,Development,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Oct-19,Nov-19,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Low priority
00948-2019,Development,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Sep-19,Dec-19,"91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – other
00948-2020,Crop / horticulture,Maitland,Hunter Unregulated and Alluvial Water Sources ,May-20,Sep-20, ,No breach – exempt
00949-2019,Other,Parkes,Lachlan Unregulated and Alluvial Water Sources ,Oct-19,Nov-19,"60A - Taking water without, or otherwise than authorised by, an access licence",Breach – enforcement response completed
00950-2019,Development,Shoalhaven,Clyde River Unregulated and Alluvial Water Sources ,Oct-19,Nov-19,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Low priority
00950-2020,Crop / horticulture,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,May-20,Dec-20,"345(2)-tier 2 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – exempt
00951-2019,Development,Greater Hume,Murrumbidgee Unregulated and Alluvial Water Sources ,Oct-19,Nov-19, ,Low priority
00952-2019,Crop / horticulture,Armidale Regional,Gwydir Unregulated and Alluvial Water Sources ,Oct-19,Sep-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Low priority - referred to another agency
00953-2019,Other,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Oct-19,Nov-19,"60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00954-2019,Development,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Oct-19,Sep-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00955-2019,Crop / horticulture,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Oct-19,Dec-19,"91A - Using water without, or otherwise than as authorised by, a water use approval, 91B(2)-tier 2 - Constructing or using a water supply work with a water supply work approval-but not in accordance with the water supply work approval (Includes constructing or using the work while the water supply work approval is suspended), 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Duplicate Entry - refer to linked notification
00956-2019,Residential,Murray River,Murray Unregulated and Alluvial Water Sources ,Oct-19,Oct-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work",No breach – other
00956-2020,Crop / horticulture,Bland,"Bega and Brogo Rivers Area Regulated, Unregulated and Alluvial Water Sources ",May-20,Oct-20,"60B(1) and (2)-tier 2 - Taking water with an access licence-but not in accordance with the terms or conditions of the access licence, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – exempt
00957-2019,Unknown,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Oct-19,Jul-20,"60A(2)-tier 2 - Taking water without an access licence, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval",No breach – exempt
00958-2019,Unknown,Richmond Valley,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Oct-19,May-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – referred to another agency
00959-2019,Unknown,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Oct-19,Apr-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – other
00960-2019,Unknown,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Oct-19,Jan-20,"91G(1), (2)-tier 2 - Carrying out an aquifer interference with an aquifer interference approval-but not in accordance with the terms or conditions of the approval",No breach – authorised by licence/approval
00961-2019,Irrigation,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Oct-19,Nov-19, ,Low priority
00962-2019,Unknown,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Oct-19,Nov-19,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – referred to another agency
00963-2019,Unknown,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Oct-19,Nov-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Low priority
00964-2019,Unknown,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Oct-19,Nov-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Low priority
